Date,High,Low,Open,Close,Volume,Adj Close,Mkt-RF,SMB,HML,RMW,CMA,RF
1/3/2000,53.96875,52.84375,53.90625,53.59375,4275000,28.58060074,-0.71,-0.16,-0.85,-1.4,-0.77,0.021
1/4/2000,54.1875,51.875,53.1875,52.5625,4270800,28.03066444,-4.06,0.33,2.21,0.33,1.46,0.021
1/5/2000,52.6875,51.25,52.4375,51.5625,5098400,27.49738312,-0.09,0.31,0.14,0.36,1.01,0.021
1/6/2000,54.71875,52.53125,52.5625,53.9375,6524200,28.76393127,-0.73,-0.13,1.38,0.53,1.2,0.021
1/7/2000,58.5,54.59375,54.78125,58.25,9832000,31.06371117,3.21,-0.97,-1.24,-0.79,-0.95,0.021
1/10/2000,58.65625,57.1875,57.90625,57.96875,6862000,30.9137249,1.76,0.53,-1.51,-1.87,-0.07,0.021
1/11/2000,58.875,57.21875,57.6875,58.875,4421800,31.39701653,-1.71,0.34,0.93,0.83,1.17,0.021
1/12/2000,59.1875,58.0625,58.3125,58.5,6231600,31.19705009,-0.69,-0.22,0.91,0.34,0.91,0.021
1/13/2000,58.5,57.28125,58.4375,57.5,5285200,30.66374397,1.59,0.57,-1.31,-1.74,-1.03,0.021
1/14/2000,58.5,57.6875,57.75,58.5,4904400,31.19705009,1.15,0.15,-0.19,-0.29,-0.61,0.021
1/18/2000,59,58.03125,58.46875,58.46875,4456800,31.18037224,-0.26,2.32,-0.47,-1.46,-0.08,0.021
1/19/2000,58,56.78125,57,57.6875,5553400,30.9330368,0.44,0.71,-0.51,-1.03,0.5,0.021
1/20/2000,57.125,53.8125,57,56.28125,10231800,30.17897987,-0.37,1.7,-1.15,-1.03,-0.49,0.021
1/21/2000,56.3125,49.75,56.3125,51.34375,24378800,27.53140831,0.23,1.18,-0.46,-1.27,0.34,0.021
1/24/2000,54.4375,47.40625,48,51.5625,28554600,27.64869118,-2.59,1.41,0.83,0.6,0.96,0.021
1/25/2000,51.84375,48.5,51.8125,48.75,17097800,26.14060211,0.49,-0.64,-0.46,-0.62,-0.62,0.021
1/26/2000,50.40625,49.40625,49.5,50.3125,10243200,26.97843552,-0.44,0.28,0.3,0.28,0.94,0.021
1/27/2000,52.21875,50.59375,51,52.03125,8989000,27.90005875,-0.44,-0.4,-0.09,0.18,-0.05,0.021
1/28/2000,51.84375,49.6875,51.84375,50.15625,9583400,26.89464569,-2.82,0.23,1.36,1.04,0.34,0.021
1/31/2000,50.5625,49.1875,50.125,50.53125,4518200,27.09573174,1.5,-3.37,-0.37,0.8,0.48,0.021
2/1/2000,50.4375,49.375,50.34375,49.75,4044200,26.6768074,1.29,-0.13,0.15,-0.48,-1.07,0.022
2/2/2000,50,49.15625,49.875,49.3125,3920800,26.44221687,0.16,1.34,-0.54,-1.06,0.11,0.022
2/3/2000,49.90625,48.34375,49.90625,48.90625,6259600,26.22437668,1.49,0.97,-1.37,-0.94,-0.65,0.022
2/4/2000,48.84375,47,48.8125,47.375,7647800,25.40330315,-0.05,1.14,-0.58,-0.34,-0.09,0.022
2/7/2000,47.40625,46.28125,47,46.625,6464400,25.00113487,0.35,1.23,-1.24,-0.98,-0.09,0.022
2/8/2000,47.9375,46.40625,47,47.875,6787800,25.67140007,1.23,0.11,-1.79,-1.54,-0.9,0.022
