Date,ADS-Index
3/21/2020,-14.30823976
3/20/2020,-14.37186652
3/19/2020,-14.34345867
3/18/2020,-14.22301282
3/17/2020,-14.01051457
3/16/2020,-13.70593846
3/15/2020,-13.30924807
3/14/2020,-12.91415039
3/13/2020,-12.51951398
3/12/2020,-12.12529164
3/11/2020,-11.73143618
3/10/2020,-11.33790047
3/9/2020,-10.94463742
3/8/2020,-10.55159996
3/7/2020,-10.1598252
3/6/2020,-9.770379743
3/5/2020,-9.383216974
3/4/2020,-8.998290565
3/3/2020,-8.615554453
3/2/2020,-8.234962835
3/1/2020,-7.856470167
2/29/2020,-7.478917677
2/28/2020,-7.113587817
2/27/2020,-6.760436868
2/26/2020,-6.41942257
2/25/2020,-6.090504113
2/24/2020,-5.773642135
2/23/2020,-5.468798719
2/22/2020,-5.17514395
2/21/2020,-4.893008077
2/20/2020,-4.622357338
2/19/2020,-4.363159344
2/18/2020,-4.115383076
2/17/2020,-3.878998884
2/16/2020,-3.65397848
2/15/2020,-3.439929545
2/14/2020,-3.236881347
2/13/2020,-3.044809589
2/12/2020,-2.863691285
2/11/2020,-2.693504761
2/10/2020,-2.534229651
2/9/2020,-2.385846894
2/8/2020,-2.24828385
2/7/2020,-2.121749646
2/6/2020,-2.006229139
2/5/2020,-1.901708505
2/4/2020,-1.808175237
2/3/2020,-1.725618141
2/2/2020,-1.654027338
2/1/2020,-1.593168671
1/31/2020,-1.533113627
1/30/2020,-1.475145865
1/29/2020,-1.419258448
1/28/2020,-1.365444687
1/27/2020,-1.313698144
1/26/2020,-1.264012625
1/25/2020,-1.215769214
1/24/2020,-1.169442274
1/23/2020,-1.12502626
1/22/2020,-1.082515856
1/21/2020,-1.041905976
1/20/2020,-1.003191759
1/19/2020,-0.966368573
1/18/2020,-0.930951878
1/17/2020,-0.896744095
1/16/2020,-0.863741132
1/15/2020,-0.831939038
1/14/2020,-0.801334009
1/13/2020,-0.771922381
1/12/2020,-0.743700635
1/11/2020,-0.716858732
1/10/2020,-0.691748664
1/9/2020,-0.668367424
1/8/2020,-0.646712216
1/7/2020,-0.626780447
1/6/2020,-0.608569732
1/5/2020,-0.592077892
1/4/2020,-0.576947751
1/3/2020,-0.563609806
1/2/2020,-0.552062461
1/1/2020,-0.542304334
12/31/2019,-0.533043411
