Date,High,Low,Open,Close,Volume,Adj Close,Mkt-RF,SMB,HML,RMW,CMA,RF, HC- Open, HC- High, HC- Low, HC- Close,S&P 500-Open,S&P500-High,S&P-Low,S&P-Close,S&P500-Adj Close,S&P500-Volume,ADS-Index
1/3/2000,53.96875,52.84375,53.90625,53.59375,4275000,28.58060074,-0.71,-0.16,-0.85,-1.4,-0.77,0.021,1455.22,1478,1438.36,1455.22,1469.25,1478,1438.359985,1455.219971,1455.219971,931800000,-1.913075223
1/4/2000,54.1875,51.875,53.1875,52.5625,4270800,28.03066444,-4.06,0.33,2.21,0.33,1.46,0.021,1399.42,1455.22,1397.43,1399.42,1455.219971,1455.219971,1397.430054,1399.420044,1399.420044,1009000000,-1.922769268
1/5/2000,52.6875,51.25,52.4375,51.5625,5098400,27.49738312,-0.09,0.31,0.14,0.36,1.01,0.021,1402.11,1413.27,1377.68,1402.11,1399.420044,1413.27002,1377.680054,1402.109985,1402.109985,1085500000,-1.930518097
1/6/2000,54.71875,52.53125,52.5625,53.9375,6524200,28.76393127,-0.73,-0.13,1.38,0.53,1.2,0.021,1403.45,1411.9,1392.02,1403.45,1402.109985,1411.900024,1392.099976,1403.449951,1403.449951,1092300000,-1.936322637
1/7/2000,58.5,54.59375,54.78125,58.25,9832000,31.06371117,3.21,-0.97,-1.24,-0.79,-0.95,0.021,1441.47,1441.47,1400.53,1441.47,1403.449951,1441.469971,1400.72998,1441.469971,1441.469971,1225200000,-1.940183581
1/10/2000,58.65625,57.1875,57.90625,57.96875,6862000,30.9137249,1.76,0.53,-1.51,-1.87,-0.07,0.021,1432.25,1445.29,1427.32,1432.25,1441.469971,1464.359985,1441.469971,1457.599976,1457.599976,1064800000,-1.942101393
1/11/2000,58.875,57.21875,57.6875,58.875,4421800,31.39701653,-1.71,0.34,0.93,0.83,1.17,0.021,1449.68,1454.6,1432.25,1449.68,1457.599976,1458.660034,1434.420044,1438.560059,1438.560059,1014000000,-1.942076302
1/12/2000,59.1875,58.0625,58.3125,58.5,6231600,31.19705009,-0.69,-0.22,0.91,0.34,0.91,0.021,1465.15,1473,1449.68,1465.15,1438.560059,1442.599976,1427.079956,1432.25,1432.25,974600000,-1.940108304
1/13/2000,58.5,57.28125,58.4375,57.5,5285200,30.66374397,1.59,0.57,-1.31,-1.74,-1.03,0.021,1455.14,1465.15,1451.25,1455.14,1432.25,1454.199951,1432.25,1449.680054,1449.680054,1030400000,-1.936197164
1/14/2000,58.5,57.6875,57.75,58.5,4904400,31.19705009,1.15,0.15,-0.19,-0.29,-0.61,0.021,1455.9,1462.23,1448.65,1455.9,1449.680054,1473,1449.680054,1465.150024,1465.150024,1085900000,-1.930342415
1/18/2000,59,58.03125,58.46875,58.46875,4456800,31.18037224,-0.26,2.32,-0.47,-1.46,-0.08,0.021,1410.03,1414.26,1388.49,1410.03,1465.150024,1465.150024,1451.300049,1455.140015,1455.140015,1056700000,-1.922543355
1/19/2000,58,56.78125,57,57.6875,5553400,30.9330368,0.44,0.71,-0.51,-1.03,0.5,0.021,1404.09,1412.53,1400.14,1404.09,1455.140015,1461.390015,1448.680054,1455.900024,1455.900024,1087800000,-1.914974364
1/20/2000,57.125,53.8125,57,56.28125,10231800,30.17897987,-0.37,1.7,-1.15,-1.03,-0.49,0.021,1398.56,1418.95,1380.54,1398.56,1455.900024,1465.709961,1438.540039,1445.569946,1445.569946,1100700000,-1.906856429
1/21/2000,56.3125,49.75,56.3125,51.34375,24378800,27.53140831,0.23,1.18,-0.46,-1.27,0.34,0.021,1360.16,1398.56,1356.14,1360.16,1445.569946,1453.180054,1439.599976,1441.359985,1441.359985,1209800000,-1.898188576
1/24/2000,54.4375,47.40625,48,51.5625,28554600,27.64869118,-2.59,1.41,0.83,0.6,0.96,0.021,1409.12,1420.53,1403.2,1409.12,1441.359985,1454.089966,1395.420044,1401.530029,1401.530029,1115800000,-1.888969771
1/25/2000,51.84375,48.5,51.8125,48.75,17097800,26.14060211,0.49,-0.64,-0.46,-0.62,-0.62,0.021,1424.97,1426.06,1398.54,1424.97,1401.530029,1414.26001,1388.48999,1410.030029,1410.030029,1073700000,-1.879198908
1/26/2000,50.40625,49.40625,49.5,50.3125,10243200,26.97843552,-0.44,0.28,0.3,0.28,0.94,0.021,1424.37,1436.01,1420.53,1424.37,1410.030029,1412.72998,1400.160034,1404.089966,1404.089966,1117300000,-1.868874819
1/27/2000,52.21875,50.59375,51,52.03125,8989000,27.90005875,-0.44,-0.4,-0.09,0.18,-0.05,0.021,1424.24,1427.23,1413.33,1424.24,1404.089966,1418.859985,1370.98999,1398.560059,1398.560059,1129500000,-1.857996268
1/28/2000,51.84375,49.6875,51.84375,50.15625,9583400,26.89464569,-2.82,0.23,1.36,1.04,0.34,0.021,1441.72,1442.02,1424.24,1441.72,1398.560059,1398.560059,1356.199951,1360.160034,1360.160034,1095800000,-1.846561954
1/31/2000,50.5625,49.1875,50.125,50.53125,4518200,27.09573174,1.5,-3.37,-0.37,0.8,0.48,0.021,1387.12,1416.95,1379.15,1387.12,1360.160034,1394.47998,1350.140015,1394.459961,1394.459961,993800000,-1.834570508
2/1/2000,50.4375,49.375,50.34375,49.75,4044200,26.6768074,1.29,-0.13,0.15,-0.48,-1.07,0.022,1389.94,1394.55,1380.62,1389.94,1394.459961,1412.48999,1384.790039,1409.280029,1409.280029,981000000,-1.822020495
2/2/2000,50,49.15625,49.875,49.3125,3920800,26.44221687,0.16,1.34,-0.54,-1.06,0.11,0.022,1402.05,1407.81,1376.21,1402.05,1409.280029,1420.609985,1403.48999,1409.119995,1409.119995,1038600000,-1.808910413
2/3/2000,49.90625,48.34375,49.90625,48.90625,6259600,26.22437668,1.49,0.97,-1.37,-0.94,-0.65,0.022,1387.67,1404.72,1385.58,1387.67,1409.119995,1425.780029,1398.52002,1424.969971,1424.969971,1146500000,-1.795238694
2/4/2000,48.84375,47,48.8125,47.375,7647800,25.40330315,-0.05,1.14,-0.58,-0.34,-0.09,0.022,1388.26,1399.83,1380.07,1388.26,1424.969971,1435.910034,1420.630005,1424.369995,1424.369995,1045100000,-1.781003701
2/7/2000,47.40625,46.28125,47,46.625,6464400,25.00113487,0.35,1.23,-1.24,-0.98,-0.09,0.022,1360.69,1370.12,1342.42,1360.69,1424.369995,1427.150024,1413.329956,1424.23999,1424.23999,918100000,-1.766203731
2/8/2000,47.9375,46.40625,47,47.875,6787800,25.67140007,1.23,0.11,-1.79,-1.54,-0.9,0.022,1353.43,1364.49,1329.9,1353.43,1424.23999,1441.829956,1424.23999,1441.719971,1441.719971,1047700000,-1.750837013
2/9/2000,47.9375,46.875,47.625,47,6255800,25.20222092,-1.83,1.83,-0.07,-0.36,0.43,0.022,1333.36,1362.12,1329.12,1333.36,1441.719971,1444.550049,1411.650024,1411.709961,1411.709961,1050500000,-1.734901707
2/10/2000,47.34375,45.03125,46.875,45.71875,5267800,24.51518631,0.57,0.94,-1.15,-1.77,-0.41,0.022,1348.05,1360.82,1325.02,1348.05,1411.699951,1422.099976,1406.430054,1416.829956,1416.829956,1058800000,-1.718395907
2/11/2000,46.96875,45.65625,45.65625,46.875,5335000,25.13518333,-1.74,1.35,0.61,-0.62,0.45,0.022,1366.42,1369.51,1348.05,1366.42,1416.829956,1416.829956,1378.890015,1387.119995,1387.119995,1025700000,-1.701317638
2/14/2000,46.90625,45.5,46.84375,45.9375,5252200,24.63248444,0.24,0.69,0.18,0.05,-0.54,0.022,1409.17,1410.88,1381.76,1409.17,1387.119995,1394.930054,1380.530029,1389.939941,1389.939941,927300000,-1.683664856
2/15/2000,47.90625,46.0625,46.25,47.875,6864000,25.67140007,0.7,-0.78,0.01,-0.01,0.92,0.022,1391.28,1409.81,1384.79,1391.28,1389.939941,1407.719971,1376.25,1402.050049,1402.050049,1092100000,-1.665435448
2/16/2000,48.125,46.5,47.90625,47.0234375,5314600,25.21477509,-0.58,1.79,-0.33,-2.01,0.74,0.022,1355.62,1399.57,1349.6,1355.62,1402.050049,1404.550049,1385.579956,1387.670044,1387.670044,1018800000,-1.646627233
2/17/2000,47.5,46.5,47,47.09375,4682400,25.25247574,0.46,1.69,-1.13,-2.31,-0.11,0.022,1366.7,1373.59,1346.5,1366.7,1387.670044,1399.880005,1380.069946,1388.26001,1388.26001,1034800000,-1.62723796
2/18/2000,47.21875,46,46.90625,46.8203125,4651600,25.10586739,-2.69,1.26,0.58,-0.46,0.36,0.022,1401.69,1401.82,1357.85,1401.69,1388.26001,1388.589966,1345.319946,1346.089966,1346.089966,1042300000,-1.607265309
2/22/2000,46.71875,45.03125,46.15625,46.4375,5226800,24.90059471,0.11,-0.99,0.36,0.39,0.25,0.022,1392.15,1397.99,1356.99,1392.15,1346.089966,1358.109985,1331.880005,1352.170044,1352.170044,980000000,-1.586706889
2/23/2000,46.4375,45.0625,46.4375,45.3125,5357000,24.29735374,1.24,0.3,-1.63,-1,-1.11,0.022,1458.47,1458.47,1392.15,1458.47,1352.170044,1370.109985,1342.439941,1360.689941,1360.689941,993700000,-1.565560242
2/24/2000,45.4375,43.28125,45.1875,44.25,7223200,23.72761345,0.01,0.74,-0.36,-0.67,-1.12,0.022,1464.47,1476.64,1453.2,1464.47,1360.689941,1364.800049,1329.880005,1353.430054,1353.430054,1215000000,-1.543822834
2/25/2000,44.5,42.5625,44.375,42.5625,7177200,22.82275391,-1.04,1.78,0.16,-0.91,0.22,0.022,1456.63,1470.23,1448.43,1456.63,1353.430054,1362.140015,1329.150024,1333.359985,1333.359985,1065200000,-1.521492067
2/28/2000,45,42.5,42.90625,44.1875,7081600,23.69411087,0.76,-0.2,-0.11,0.2,0.61,0.022,1527.35,1532.13,1493.76,1527.35,1333.359985,1360.819946,1325.069946,1348.050049,1348.050049,1026500000,-1.498565267
2/29/2000,44.9375,43.625,44.75,43.9375,6661800,23.56004524,1.96,1.62,-0.68,-1.78,0.74,0.022,1527.46,1553.11,1516.85,1527.46,1348.050049,1369.630005,1348.050049,1366.420044,1366.420044,1204300000,-1.47503969
3/1/2000,44.34375,43.4375,44,44.125,4153600,23.66059113,1.39,0.91,-0.61,-1.31,-0.08,0.02,1523.86,1534.66,1518.62,1523.86,1366.420044,1383.459961,1366.420044,1379.189941,1379.189941,1274100000,-1.450912522
3/2/2000,44.21875,43.34375,44,43.65625,3565800,23.40924263,-0.09,0.11,0.28,0.92,0.56,0.02,1507.73,1527.2,1507.2,1507.73,1379.189941,1386.560059,1370.349976,1381.76001,1381.76001,1198600000,-1.426958983
3/3/2000,44.90625,43.5,43.90625,44.21875,4902200,23.71085548,2.3,-0.22,-0.97,-1.01,-0.56,0.02,1508.52,1521.36,1497.32,1508.52,1381.76001,1410.880005,1381.76001,1409.170044,1409.170044,1150300000,-1.403653881
3/6/2000,44.21875,43.3125,44.1875,43.71875,3668600,23.44274902,-0.77,1.69,0.25,-1.29,0.48,0.02,1505.97,1507.08,1487.09,1505.97,1409.170044,1409.73999,1384.75,1391.280029,1391.280029,1029000000,-1.380994427
3/7/2000,36.1875,28.625,29,30.5,137287200,16.35462952,-2.2,0.89,0.38,-0.54,-0.04,0.02,1494.73,1526.22,1417.22,1494.73,1391.280029,1399.209961,1349.98999,1355.619995,1355.619995,1314100000,-1.35897791
3/8/2000,30.84375,28.5625,30.5,29,74584200,15.55030727,0.69,-0.66,-0.26,0.29,-1.49,0.02,1487.37,1506.55,1478.06,1487.37,1355.619995,1373.790039,1346.619995,1366.699951,1366.699951,1203000000,-1.337601694
3/9/2000,29.75,28.25,29.25,28.875,34217200,15.48327255,2.45,-0.71,-0.56,0.59,-1.23,0.02,1501.34,1511.76,1487.37,1501.34,1366.699951,1401.819946,1357.880005,1401.689941,1401.689941,1123000000,-1.316863221
3/10/2000,28.875,26.375,28.5625,26.875,48561600,14.41084003,-0.43,0.31,0.26,0.32,0.01,0.02,1516.35,1518.48,1501.34,1516.35,1401.689941,1413.459961,1392.069946,1395.069946,1395.069946,1138800000,-1.29676001
3/13/2000,28.625,26.625,26.875,28.625,35996800,15.34922123,-1.48,-0.77,1.1,1.47,0.05,0.02,1467.17,1510.59,1466.15,1467.17,1395.069946,1398.390015,1364.839966,1383.619995,1383.619995,1016100000,-1.277289655
3/14/2000,29,27.5625,28.71875,27.875,20742000,14.94706059,-2.33,-0.9,1.23,2.31,-0.3,0.02,1440.51,1477.36,1440.34,1440.51,1383.619995,1395.150024,1359.150024,1359.150024,1359.150024,1094000000,-1.258449826
3/15/2000,29.25,27.3125,28.21875,29.25,24737400,15.68435764,0.83,-4.31,1.5,3.21,1.4,0.02,1356.56,1440.51,1339.4,1356.56,1359.150024,1397.98999,1356.98999,1392.140015,1392.140015,1302800000,-1.240238269
3/16/2000,30.25,29.375,29.84375,29.9375,27405200,16.05300331,4.25,-3.33,0.37,0.98,-0.31,0.02,1401.44,1401.48,1346.68,1401.44,1392.150024,1458.469971,1392.150024,1458.469971,1458.469971,1482300000,-1.222652803
3/17/2000,29.9375,28.5,29.9375,28.8125,22202400,15.44976521,0.62,0.26,-0.69,-0.09,-0.37,0.02,1441.61,1441.61,1397.61,1441.61,1458.469971,1477.329956,1453.319946,1464.469971,1464.469971,1295100000,-1.205691325
